sequence,value
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginUserInfo-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Delete-Logout-end,2
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-ShineLearning-Logout-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Notification-NotificationRecruiterMail-Logout-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-Truecaller-end,2
HomeMenuLoggedOut-LoginAttempt-Notification-Search-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-Search-SaveJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-Truecaller-LoginSuccess-LoginUserInfo-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-end,22
HomeMenuLoggedOut-ForgotPassword-LoginUserInfo-LoginSuccess-LoginAttempt-end,1
HomeMenuLoggedOut-Logout-LoginAttempt-LoginSuccess-LoginUserInfo-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-NotificationRecruiterMail-end,1
HomeMenuLoggedOut-Edit-Search-NotificationProfileViews-end,1
HomeMenuLoggedOut-Notification-NotificationProfileViews-NotificationRecruiterMail-SaveJobAlert-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-Search-end,3
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationRecruiterMail-ShineLearning-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-LoginSuccess-Search-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Apply-Notification-Delete-end,1
HomeMenuLoggedOut-Apply-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-LoginSuccess-Search-end,1
HomeMenuLoggedOut-LoginSuccess-LoginAttempt-LoginUserInfo-Savejobs-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Delete-NotificationRecruiterMail-end,1
HomeMenuLoggedOut-Search-LoginAttempt-ForgotPassword-end,5
HomeMenuLoggedOut-ForgotPassword-LoginSuccess-LoginUserInfo-LoginAttempt-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Truecaller-end,4
HomeMenuLoggedOut-LoginAttempt-ShineLearning-ShareJob-end,1
