sequence,value
Apply-UpdateFlowSkip-UpdateFlow-Notification-Edit-ViewSimilarJobs-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Search-Edit-end,1
Apply-NotificationJobAlert-Notification-Edit-Search-end,1
Apply-UpdateFlow-Logout-end,2
Apply-UpdateFlow-UpdateFlowSkip-RateApp-Delete-Edit-end,1
Apply-Edit-UpdateFlowSkip-UpdateFlow-end,1
Apply-UpdateFlow-ViewSimilarJobs-Edit-end,1
Apply-NotificationProfileViews-ProfileViews-EmailVerify-end,1
Apply-RateApp-TutorialScreen-end,1
Apply-NotificationJobAlert-Notification-Search-GCMOpened-end,1
Apply-UpdateFlow-Notification-Delete-end,1
Apply-GCMOpened-Edit-Delete-end,1
Apply-UpdateFlowSkip-Search-ViewSimilarJobs-end,5
Apply-GCMOpened-UpdateFlow-UpdateFlowSkip-end,1
Apply-UpdateFlow-Notification-Search-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationRecruiterMail-Edit-end,3
Apply-UpdateFlow-UpdateFlowSkip-Edit-Delete-EmailVerify-end,1
Apply-NotificationProfileViews-ProfileViews-Notification-end,1
Apply-GCMOpened-Notification-NotificationProfileViews-NotificationJobAlert-end,1
Apply-ViewSimilarJobs-Notification-end,7
Apply-NotificationProfileViews-ProfileViews-Search-RateApp-end,1
Apply-Notification-NotificationJobAlert-NotificationProfileViews-end,19
Apply-UpdateFlowSkip-UpdateFlow-NotificationProfileViews-Edit-end,1
Apply-UpdateFlowSkip-Notification-Edit-end,3
Apply-NotificationProfileViews-NotificationJobAlert-end,3
Apply-NotificationRecruiterMail-NotificationProfileViews-Edit-ViewSimilarJobs-NotificationJobAlert-end,1
Apply-Notification-GCMOpened-end,2
Apply-NotificationJobAlert-Notification-NotificationProfileViews-ProfileViews-end,3
Apply-UpdateFlowSkip-Search-Savejobs-end,1
Apply-NotificationRecruiterMail-EmailVerify-end,1
Apply-UpdateFlowSkip-ShareJob-Savejobs-ProfileViews-Notification-end,1
Apply-NotificationRecruiterMail-NotificationProfileViews-UpdateFlow-ProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Savejobs-end,1
Apply-Add-Edit-Notification-NotificationJobAlert-end,1
Apply-UpdateFlowSkip-Edit-Delete-end,1
Apply-Delete-Add-Edit-NotificationJobAlert-end,1
Apply-NotificationRecruiterMail-NotificationJobAlert-end,2
Apply-UpdateFlow-ShareJob-end,6
Apply-ViewSimilarJobs-Delete-end,1
Apply-Delete-NotificationRecruiterMail-end,1
Apply-Notification-NotificationJobAlert-UpdateFlow-Edit-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-ShareJob-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-RateApp-Search-end,1
Apply-UpdateFlowSkip-GCMOpened-end,20
Apply-UpdateFlow-Notification-NotificationRecruiterMail-Search-end,1
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-Search-UpdateFlow-end,1
Apply-UpdateFlowSkip-NotificationProfileViews-NotificationRecruiterMail-NotificationJobAlert-end,1
Apply-ViewSimilarJobs-FeedbackSend-Search-end,2
Apply-Search-Notification-NotificationProfileViews-ProfileViews-end,1
Apply-UpdateFlowSkip-Notification-NotificationProfileViews-NotificationJobAlert-end,10
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-GCMOpened-end,1
Apply-NotificationRecruiterMail-NotificationProfileViews-ProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-RateApp-end,11
Apply-UpdateFlow-Notification-NotificationProfileViews-NotificationJobAlert-end,1
Apply-NotificationRecruiterMail-UpdateFlowSkip-end,1
Apply-GCMOpened-UpdateFlow-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationJobAlert-NotificationRecruiterMail-end,3
Apply-UpdateFlowSkip-RateApp-Search-end,2
Apply-Search-UpdateFlowSkip-end,1
Apply-NotificationRecruiterMail-ViewSimilarJobs-end,2
Apply-Edit-NotificationJobAlert-end,2
Apply-Notification-NotificationJobAlert-UpdateFlow-end,1
Apply-UpdateFlowSkip-Notification-NotificationProfileViews-ShineLearning-end,1
Apply-UpdateFlowSkip-ProfileViews-NotificationJobAlert-Notification-end,1
Apply-RateApp-ViewSimilarJobs-NotificationJobAlert-NotificationProfileViews-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-FeedbackSend-end,2
Apply-UpdateFlow-UpdateFlowSkip-Search-RateApp-end,1
Apply-UpdateFlowSkip-UpdateFlow-SaveJobAlert-Search-end,1
Apply-UpdateFlow-UpdateFlowSkip-Search-GCMOpened-end,1
Apply-Notification-NotificationJobAlert-NotificationRecruiterMail-NotificationProfileViews-RateApp-end,1
Apply-ViewSimilarJobs-Search-RateApp-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-Notification-end,2
Apply-UpdateFlow-Notification-NotificationJobAlert-ViewSimilarJobs-end,2
Apply-UpdateFlow-ViewSimilarJobs-UpdateFlowSkip-end,1
Apply-UpdateFlow-NotificationRecruiterMail-end,2
Apply-UpdateFlowSkip-UpdateFlow-NotificationRecruiterMail-end,1
Apply-Notification-NotificationJobAlert-Delete-Edit-end,1
Apply-UpdateFlowSkip-ProfileViews-Search-end,1
Apply-ViewSimilarJobs-RateApp-Edit-NotificationProfileViews-end,1
Apply-Edit-NotificationRecruiterMail-end,1
Apply-UpdateFlow-HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-end,1
Apply-UpdateFlow-ViewSimilarJobs-NotificationJobAlert-Edit-end,1
Apply-Email-end,1
Apply-RateApp-Notification-NotificationJobAlert-end,9
Apply-RateApp-NotificationRecruiterMail-NotificationProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Search-GCMOpened-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-Savejobs-end,1
Apply-GCMOpened-end,33
Apply-UpdateFlow-RateApp-Savejobs-ViewSimilarJobs-Notification-end,1
Apply-Search-UpdateFlowSkip-UpdateFlow-end,1
Apply-ViewSimilarJobs-Savejobs-end,2
Apply-RateApp-Savejobs-end,2
Apply-Edit-Notification-NotificationProfileViews-ProfileViews-end,1
Apply-ViewSimilarJobs-ShineLearning-Edit-end,1
Apply-UpdateFlow-ViewSimilarJobs-Savejobs-Notification-NotificationJobAlert-end,1
Apply-UpdateFlow-UpdateFlowSkip-FeedbackSend-end,8
Apply-Notification-NotificationProfileViews-ProfileViews-Edit-Add-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-ShareJob-RateApp-end,1
Apply-UpdateFlowSkip-SaveJobAlert-Search-Delete-Edit-end,1
Apply-UpdateFlow-NotificationJobAlert-ViewSimilarJobs-end,1
Apply-UpdateFlow-Notification-end,21
Apply-UpdateFlow-Notification-NotificationJobAlert-RateApp-end,2
Apply-UpdateFlowSkip-UpdateFlow-Notification-end,5
