sequence,value
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationProfileViews-NotificationJobAlert-end,1
Apply-Delete-Edit-end,1
Apply-RateApp-Notification-NotificationProfileViews-end,1
Apply-UpdateFlowSkip-GCMOpened-Edit-Notification-NotificationRecruiterMail-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationJobAlert-end,47
Apply-UpdateFlowSkip-Search-end,64
Apply-UpdateFlow-ViewSimilarJobs-Search-RateApp-Edit-end,1
Apply-ViewSimilarJobs-RateApp-Notification-NotificationJobAlert-end,2
Apply-UpdateFlowSkip-UpdateFlow-Search-ViewSimilarJobs-end,1
Apply-Search-ViewSimilarJobs-end,19
Apply-Add-Edit-FeedbackSend-end,1
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationJobAlert-end,19
Apply-ViewSimilarJobs-UpdateFlowSkip-RateApp-TutorialScreen-end,1
Apply-NotificationProfileViews-NotificationJobAlert-UpdateFlowSkip-ViewSimilarJobs-Notification-end,1
Apply-RateApp-Notification-NotificationProfileViews-ProfileViews-end,1
Apply-UpdateFlowSkip-UpdateFlow-NotificationRecruiterMail-Notification-NotificationProfileViews-end,1
Apply-FeedbackSend-Notification-NotificationJobAlert-end,1
Apply-UpdateFlow-UpdateFlowSkip-Savejobs-end,4
Apply-UpdateFlow-NotificationJobAlert-end,3
Apply-UpdateFlowSkip-Notification-NotificationProfileViews-ViewSimilarJobs-Search-end,1
Apply-UpdateFlow-UpdateFlowSkip-SaveJobAlert-NotificationJobAlert-end,1
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-NotificationProfileViews-NotificationRecruiterMail-end,2
Apply-RateApp-EmailVerify-end,1
Apply-NotificationProfileViews-GCMOpened-Notification-NotificationJobAlert-NotificationRecruiterMail-end,1
Apply-UpdateFlowSkip-Notification-NotificationRecruiterMail-end,41
Apply-ViewSimilarJobs-ShareJob-NotificationProfileViews-Notification-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Search-RateApp-end,2
Apply-GCMOpened-Notification-NotificationRecruiterMail-NotificationProfileViews-end,1
Apply-RateApp-Delete-end,2
Apply-UpdateFlowSkip-GCMOpened-Notification-NotificationProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-Search-ViewSimilarJobs-NotificationRecruiterMail-end,1
Apply-UpdateFlowSkip-UpdateFlow-NotificationJobAlert-Search-end,1
Apply-Savejobs-Delete-RateApp-end,1
Apply-NotificationProfileViews-NotificationRecruiterMail-end,5
Apply-Edit-NotificationProfileViews-ProfileViews-NotificationRecruiterMail-end,1
Apply-UpdateFlow-Logout-Search-LoginAttempt-LoginSuccess-end,1
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-ShareJob-end,1
Apply-ProfileViews-NotificationRecruiterMail-NotificationProfileViews-end,1
Apply-UpdateFlowSkip-NotificationJobAlert-Search-end,1
Apply-UpdateFlow-Edit-HomeMenuLoggedOut-LoginAttempt-ForgotPassword-end,1
Apply-NotificationJobAlert-NotificationRecruiterMail-end,3
Apply-UpdateFlowSkip-UpdateFlow-Notification-Search-end,3
Apply-ProfileViews-Logout-end,1
Apply-RateApp-ViewSimilarJobs-ShareJob-end,1
Apply-Notification-UpdateFlowSkip-RateApp-ViewSimilarJobs-end,1
Apply-UpdateFlow-EmailVerify-Edit-Search-end,1
Apply-RateApp-end,221
Apply-Savejobs-UpdateFlow-end,1
Apply-ViewSimilarJobs-GCMOpened-end,11
Apply-Edit-Search-NotificationProfileViews-end,1
Apply-Notification-NotificationProfileViews-NotificationRecruiterMail-SaveJobAlert-Search-end,1
Apply-Notification-NotificationJobAlert-ViewSimilarJobs-end,10
Apply-Notification-NotificationProfileViews-ViewSimilarJobs-end,1
Apply-UpdateFlowSkip-GCMOpened-ViewSimilarJobs-end,1
Apply-GCMOpened-Notification-NotificationJobAlert-end,4
Apply-FeedbackSend-ViewSimilarJobs-Notification-end,1
Apply-Search-UpdateFlowSkip-RateApp-end,1
Apply-ViewSimilarJobs-UpdateFlow-UpdateFlowSkip-end,4
Apply-UpdateFlow-UpdateFlowSkip-Notification-end,19
Apply-ViewSimilarJobs-NotificationJobAlert-Search-end,1
Apply-UpdateFlow-RateApp-ViewSimilarJobs-end,4
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-SaveJobAlert-Notification-end,1
Apply-ShareJob-end,6
Apply-CareerPlusAdClick-end,2
Apply-UpdateFlowSkip-RateApp-ViewSimilarJobs-Search-end,1
Apply-RateApp-NotificationProfileViews-end,2
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationJobAlert-ViewSimilarJobs-end,3
Apply-Delete-Search-Notification-end,1
Apply-UpdateFlow-UpdateFlowSkip-Delete-end,3
Apply-UpdateFlow-ViewSimilarJobs-ProfileViews-Edit-end,1
Apply-UpdateFlowSkip-Search-RateApp-Notification-NotificationRecruiterMail-end,1
Apply-ViewSimilarJobs-EmailVerify-end,1
Apply-UpdateFlowSkip-SaveJobAlert-Search-end,2
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Savejobs-Edit-end,1
Apply-UpdateFlow-UpdateFlowSkip-EmailVerify-Edit-HomeMenuLoggedOut-end,1
Apply-ProfileViews-Notification-NotificationJobAlert-end,2
Apply-UpdateFlowSkip-Notification-ViewSimilarJobs-end,1
Apply-UpdateFlow-UpdateFlowSkip-EmailVerify-Edit-end,1
